Index,X,Y,Z
382,1079046.13,-4853357.91,3981837.05
383,1079046.19,-4853358.03,3981837.05
384,1079046.27,-4853358.17,3981837.01
385,1079046.41,-4853358.28,3981837.00
386,1079046.47,-4853358.32,3981836.95
387,1079046.55,-4853358.31,3981836.93
388,1079046.68,-4853358.38,3981836.98
389,1079046.78,-4853358.43,3981837.04
390,1079046.88,-4853358.49,3981837.10
391,1079046.95,-4853358.56,3981837.15
392,1079047.00,-4853358.55,3981837.15
393,1079047.04,-4853358.53,3981837.16
394,1079047.02,-4853358.55,3981837.15
395,1079047.03,-4853358.57,3981837.13
396,1079047.00,-4853358.50,3981837.06
397,1079046.96,-4853358.52,3981837.05
398,1079046.91,-4853358.45,3981836.98
399,1079046.88,-4853358.34,3981836.96
400,1079046.84,-4853358.26,3981836.91
401,1079046.84,-4853358.16,3981836.87
402,1079046.84,-4853358.14,3981836.89
403,1079046.83,-4853358.20,3981836.98
404,1079046.83,-4853358.11,3981836.94
405,1079046.84,-4853358.09,3981836.95
406,1079046.85,-4853358.09,3981836.97
407,1079046.80,-4853358.08,3981836.98
408,1079046.78,-4853358.10,3981836.97
409,1079046.73,-4853358.01,3981836.93
410,1079046.66,-4853357.95,3981836.87
411,1079046.63,-4853357.96,3981836.85
412,1079046.57,-4853357.89,3981836.79
413,1079046.55,-4853357.91,3981836.78
414,1079046.51,-4853357.88,3981836.67
415,1079046.41,-4853357.86,3981836.55
416,1079046.33,-4853357.86,3981836.41
417,1079046.30,-4853357.91,3981836.38
418,1079046.33,-4853357.95,3981836.31
419,1079046.35,-4853357.90,3981836.21
420,1079046.37,-4853357.84,3981836.12
421,1079046.41,-4853357.88,3981836.06
422,1079046.42,-4853357.90,3981836.03
423,1079046.46,-4853357.94,3981835.98
424,1079046.51,-4853357.96,3981835.93
425,1079046.54,-4853357.96,3981835.91
426,1079046.59,-4853357.97,3981835.90
427,1079046.61,-4853357.95,3981835.91
428,1079046.68,-4853357.92,3981835.93
429,1079046.70,-4853357.87,3981835.99
430,1079046.71,-4853357.87,3981835.99
431,1079046.68,-4853357.86,3981836.00
432,1079046.63,-4853357.80,3981835.93
433,1079046.59,-4853357.81,3981835.93
434,1079046.52,-4853357.84,3981835.91
435,1079046.43,-4853357.88,3981835.90
436,1079046.29,-4853357.81,3981835.85
437,1079046.21,-4853357.82,3981835.86
438,1079046.15,-4853357.72,3981835.84
439,1079046.08,-4853357.74,3981835.83
440,1079046.03,-4853357.73,3981835.71
441,1079046.07,-4853357.66,3981835.62
442,1079046.12,-4853357.60,3981835.51
443,1079046.11,-4853357.55,3981835.42
444,1079046.08,-4853357.49,3981835.34
445,1079046.06,-4853357.41,3981835.28
446,1079046.05,-4853357.23,3981835.18
447,1079046.09,-4853357.12,3981835.15
448,1079046.02,-4853357.01,3981835.14
449,1079046.00,-4853356.93,3981835.24
450,1079045.97,-4853356.87,3981835.33
451,1079045.96,-4853356.82,3981835.39
452,1079045.95,-4853356.81,3981835.41
453,1079046.00,-4853356.87,3981835.48
454,1079046.05,-4853356.85,3981835.48
455,1079046.13,-4853356.89,3981835.57
456,1079046.19,-4853356.84,3981835.62
457,1079046.23,-4853356.98,3981835.76
458,1079046.27,-4853357.03,3981835.84
459,1079046.23,-4853356.99,3981835.91
460,1079046.20,-4853356.95,3981835.96
461,1079046.18,-4853356.93,3981835.99
462,1079046.17,-4853356.97,3981836.11
463,1079046.18,-4853356.93,3981836.16
464,1079046.19,-4853356.90,3981836.18
465,1079046.18,-4853356.80,3981836.15
466,1079046.20,-4853356.78,3981836.16
467,1079046.23,-4853356.79,3981836.15
468,1079046.23,-4853356.79,3981836.15
469,1079046.23,-4853356.70,3981836.10
470,1079046.20,-4853356.70,3981836.12
471,1079046.21,-4853356.69,3981836.12
472,1079046.22,-4853356.73,3981836.22
473,1079046.23,-4853356.78,3981836.31
474,1079046.23,-4853356.87,3981836.38
475,1079046.25,-4853356.91,3981836.47
476,1079046.31,-4853357.07,3981836.58
477,1079046.34,-4853357.13,3981836.66
478,1079046.38,-4853357.21,3981836.72
479,1079046.41,-4853357.36,3981836.84
480,1079046.42,-4853357.37,3981836.83
481,1079046.44,-4853357.45,3981836.89
482,1079046.44,-4853357.43,3981836.91
483,1079046.45,-4853357.45,3981836.88
484,1079046.44,-4853357.48,3981836.85
485,1079046.42,-4853357.41,3981836.77
486,1079046.42,-4853357.44,3981836.74
487,1079046.43,-4853357.45,3981836.73
488,1079046.41,-4853357.38,3981836.65
489,1079046.36,-4853357.30,3981836.62
490,1079046.30,-4853357.13,3981836.52
491,1079046.22,-4853357.04,3981836.48
492,1079046.18,-4853356.95,3981836.45
493,1079046.13,-4853356.95,3981836.47
494,1079046.09,-4853356.85,3981836.43
495,1079046.08,-4853356.83,3981836.46
496,1079046.05,-4853356.81,3981836.49
497,1079046.05,-4853356.78,3981836.52
498,1079046.12,-4853356.85,3981836.59
499,1079046.13,-4853356.85,3981836.59
500,1079046.15,-4853356.92,3981836.65
501,1079046.19,-4853356.91,3981836.66
502,1079046.27,-4853356.96,3981836.72
503,1079046.30,-4853356.98,3981836.70
504,1079046.34,-4853356.88,3981836.65
505,1079046.40,-4853356.86,3981836.66
506,1079046.42,-4853356.84,3981836.67
507,1079046.45,-4853356.87,3981836.63
508,1079046.46,-4853356.81,3981836.54
